source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,fa9647721e2e,HO,Westfield Group,American Select Insurance Company,11/19/24,08/04/25,42.7,42.7,34.5,18193625,22447,52737530,37.7,4.7,Rate,False
1,3d1625f27bbc,PPA,,"Foremost Insurance Company  Grand Rapids, Michigan",11/15/24,09/26/24,,0.0,0.0,0,12057,3054745,0.0,0.0,Rate,False
1,54fd4d14101d,PPA,,Allstate Indemnity Company,12/09/24,03/18/25,,0.0,0.0,0,67584,201263904,9.3,-9.1,Rate,False
1,ab3934965466,HO,,Allstate Indemnity Company,12/27/24,09/11/24,,0.0,0.0,0,1919,804132,0.0,0.0,Rate,False
1,d267a88fefc2,HO,State Farm Group,State Farm Fire and Casualty Company,11/15/24,03/05/25,,,0.0,-4840,605146,1068123013,,,Rate,False
1,1eab009f1fff,PPA,,,12/02/24,02/12/25,,,,,,,,,Rate,True
1,110d22db7ae8,PPA,,American Economy Insurance Company,12/14/24,02/06/25,-10.7,-10.7,-3.0,-18046,144,591963,4.4,-5.5,Rate,False
1,7b03bdf89fe7,PPA,,Selective Insurance Company of South Carolina,11/30/24,02/04/25,20.4,20.4,15.6,2887040,6317,18552907,18.7,8.6,Rate,False
1,7c6fcfc0e263,HO,,"Acuity, A Mutual Insurance Company",12/02/24,02/04/25,20.0,20.0,12.5,4852313,15622,38832555,34.3,0.0,Rate,False
1,d9edcc0b348a,PPA,Insurance Group,Auto-Owners Insurance Company,07/05/24,02/03/25,10.9,10.9,5.0,1735043,15112,35008217,28.0,-29.7,Rate,False
1,d9edcc0b348a,PPA,Insurance Group,Owners Insurance Company,07/05/24,02/03/25,10.9,7.4,4.9,10277112,113887,210474221,38.9,-34.2,Rate,False
1,d9edcc0b348a,PPA,Insurance Group,Auto-Owners Insurance Company,07/05/24,02/03/25,7.4,10.9,5.0,1735043,15112,35008217,28.0,-29.7,Rate,False
1,d9edcc0b348a,PPA,Insurance Group,Owners Insurance Company,07/05/24,02/03/25,7.4,7.4,4.9,10277112,113887,210474221,38.9,-34.2,Rate,False
1,c1d0cd1570b1,HO,,Safeco Insurance Company of Illinois,12/27/24,08/19/24,32.4,32.4,9.9,5831651,16706,58643428,26.0,-3.7,Rate,False
1,dbecd4f28a96,HO,,American Modern Property and Casualty Insurance Company,12/20/24,08/01/24,44.3,44.3,44.2,1779058,4500,4021477,53.0,0.0,Rate,False
1,9669c28343b5,HO,,Wadena Insurance Company,09/01/24,09/03/24,54.3,54.3,0.0,0,3034,5588759,15.7,-3.6,Rate,False
1,03b44d1afa44,PPA,,Encompass Indemnity Company,12/09/24,09/19/24,,0.0,0.0,0,0,17216356,0.0,0.0,Rate,False
1,05d7dda64a7d,HO,,LM Insurance Corporation,12/21/24,01/22/25,16.0,16.0,6.0,212774,662,3556944,6.1,4.7,Rate,False
1,05d7dda64a7d,HO,,Liberty Insurance Corporation,12/21/24,01/22/25,16.0,16.0,0.0,0,0,0,0.0,0.0,Rate,False
1,05d7dda64a7d,HO,,Liberty Mutual Personal Insurance Company,12/21/24,01/22/25,16.0,16.0,6.0,4217566,17589,70761085,6.4,3.7,Rate,False
1,05d7dda64a7d,HO,,LM Insurance Corporation,12/21/24,01/22/25,16.0,16.0,6.0,212774,662,3556944,6.1,4.7,Rate,False
1,05d7dda64a7d,HO,,Liberty Insurance Corporation,12/21/24,01/22/25,16.0,16.0,0.0,0,0,0,0.0,0.0,Rate,False
1,05d7dda64a7d,HO,,Liberty Mutual Personal Insurance Company,12/21/24,01/22/25,16.0,16.0,6.0,4217566,17589,70761085,6.4,3.7,Rate,False
1,c362c18b4be9,PPA,,Privilege Underwriters Reciprocal Exchange,01/01/25,10/02/24,22.0,22.0,14.9,1198959,1980,8044600,46.3,-2.4,Rate,False
1,1d52a19e4286,HO,Insurance Group,Progressive Preferred Insurance Company,03/01/24,01/21/25,24.0,24.0,25.0,5293887,8949,4235504,174.0,-39.0,Rate,False
1,d06261a00ed3,HO,,Liberty Mutual Fire Insurance Company,12/21/24,10/31/24,16.0,16.0,6.0,355441,907,5945972,9.0,5.2,Rate,False
1,73bc1710c6c8,HO,,American Family Insurance Company,12/24/24,10/17/24,,,0.0,-29,12991,19954544,0.0,-2.1,Rate,False
1,2e3663d84c65,HO,,Privilege Underwriters Reciprocal Exchange,01/01/25,12/06/24,41.1,41.1,12.9,2535998,2959,19629970,84.6,-38.1,Rate,False
1,7240c8f2b4f0,PPA,,Pennsylvania National Mutual Casualty Insurance Company,12/10/24,07/18/24,13.0,13.0,8.7,98191,1083,1128634,11.0,3.0,Rate,False
1,7c537d5107ee,HO,Cas Group,AMCO Insurance Company,12/01/24,12/20/24,61.6,61.6,24.9,1311755,1956,5268076,27.4,12.2,Rate,False
1,7c537d5107ee,HO,Cas Group,Depositors Insurance Company,12/01/24,12/20/24,61.6,61.6,24.9,4687798,8285,18826789,28.5,5.7,Rate,False
1,7c537d5107ee,HO,Cas Group,Nationwide Insurance Company of America,12/01/24,12/20/24,61.6,61.6,24.9,966155,1646,3880096,28.7,11.0,Rate,False
1,7c537d5107ee,HO,Cas Group,Nationwide Mutual Insurance Company,12/01/24,12/20/24,61.6,61.6,24.9,18935423,34629,76049152,33.0,7.1,Rate,False
1,9e07566ac86e,PPA,Westfield Group,American Select Insurance Company,11/19/24,09/17/24,7.3,7.3,5.0,2645079,21478,52751769,12.5,0.2,Rate,False
1,799d01739645,HO,Insurance Group,MICO,12/01/24,09/20/24,17.8,17.8,6.5,294116,2434,4524868,17.3,-7.6,Rate,False
1,92156ccf0fa2,PPA,,"Acuity, A Mutual Insurance Company",12/02/24,12/19/24,1.9,1.9,1.5,467224,13924,31289502,10.1,-2.0,Rate,False
1,925b08d341ff,PPA,Insurance Group,MICO,12/01/24,07/31/24,22.0,22.0,3.7,203205,2504,5492035,19.6,-11.2,Rate,False
1,5eb0e5e54fc5,PPA,,Grinnell Select Insurance Company,11/15/24,06/18/24,7.9,7.9,7.9,2236573,13499,28159635,42.0,0.0,Rate,False
1,2356fb38288a,PPA,,Grinnell Mutual Reinsurance Company,11/15/24,06/18/24,10.2,10.2,10.2,665791,2273,6497591,32.4,0.0,Rate,False
1,38ce34763d7a,PPA,,"Foremost Insurance Company  Grand Rapids, Michigan",11/15/24,06/14/24,,0.0,0.0,0,5364,2790238,0.0,0.0,Rate,False
1,7bcd50a4735c,HO,,"Foremost Insurance Company  Grand Rapids, Michigan",12/01/24,10/04/24,11.6,11.6,11.6,272316,1803,2354178,16.0,6.2,Rate,False
1,160b2964c1dd,HO,,Truck Insurance Exchange,11/17/24,10/04/24,,0.0,0.0,0,39569,101271000,86.8,-51.7,Rate,False
1,4e5ca62b7b13,PPA,PC Group,COUNTRY Casualty Insurance Company,12/02/24,10/17/24,8.477,8.477,2.819,25269,367,896251,18.3,-13.9,Rate,False
1,4e5ca62b7b13,PPA,PC Group,COUNTRY Mutual Insurance Company,12/02/24,10/17/24,8.477,8.477,2.732,237859,4493,8706515,22.7,-14.0,Rate,False
